你好，之华,https://movie.douban.com/subject/27615233/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2538345957.jpg,岩井俊二,剧情,2018-11-09,中国大陆,汉语普通话,6.7,175923
环太平洋：雷霆再起 Pacific Rim: Uprising,https://movie.douban.com/subject/20435622/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512933684.jpg,斯蒂文·S·迪奈特,动作,2018-03-23,美国 ,英语 ,5.5,171933
找到你,https://movie.douban.com/subject/27140071/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2534471408.jpg,吕乐,剧情,2018-10-05,中国大陆,汉语普通话,7.4,136388
摩天营救 Skyscraper,https://movie.douban.com/subject/26804147/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2527484082.jpg,罗森·马歇尔·瑟伯,动作,2018-07-20,美国,英语 ,6.3,120556
悲伤逆流成河,https://movie.douban.com/subject/27102569/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529701498.jpg,落落,剧情,2018-09-21,中国大陆,汉语普通话,5.8,137704
犬之岛 Isle of Dogs,https://movie.douban.com/subject/26640371/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518856022.jpg,韦斯·安德森,喜剧,2018-04-20,美国 ,英语 ,8.3,160399
地球最后的夜晚,https://movie.douban.com/subject/26633257/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2541183610.jpg,毕赣,剧情,2018-12-31,中国大陆 ,贵州方言 ,6.8,146070
瞒天过海：美人计 Ocean's Eight,https://movie.douban.com/subject/26654269/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508259902.jpg,盖瑞·罗斯,喜剧,2018-06-08,美国,英语 ,6.7,149197
幕后玩家,https://movie.douban.com/subject/26774033/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2520543845.jpg,任鹏远,剧情,2018-04-28,中国大陆,汉语普通话,5.7,133050
燃烧 버닝,https://movie.douban.com/subject/26842702/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520095279.jpg,李沧东,剧情,2018-05-16,韩国,韩语,7.9,146108
谁先爱上他的 誰先愛上他的,https://movie.douban.com/subject/27119586/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546961193.jpg,徐誉庭,剧情,2018-04-22,台湾,汉语普通话,8.6,154869
古墓丽影：源起之战 Tomb Raider,https://movie.douban.com/subject/3445906/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512717509.jpg,罗阿尔·乌索格,动作,2018-03-16,美国,英语,6.0,116807
风中有朵雨做的云,https://movie.douban.com/subject/26728669/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552522615.jpg,娄烨,剧情,2019-04-04,中国大陆,汉语普通话 ,7.5,142095
狂暴巨兽 Rampage,https://movie.douban.com/subject/26430636/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516079193.jpg,布拉德·佩顿,动作,2018-04-13,美国,英语,6.4,113231
反贪风暴3 L風暴,https://movie.douban.com/subject/26996640/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2531887203.jpg,林德禄 ,剧情,2018-09-14,香港,粤语 ,5.7,74468
"爱你，西蒙 Love, Simon",https://movie.douban.com/subject/26654498/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2523592367.jpg,格里格·伯兰蒂,爱情,2018-03-16,美国,英语,8.3,124047
西游记女儿国,https://movie.douban.com/subject/25829175/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511375626.jpg,郑保瑞,喜剧,2018-02-16,中国大陆 ,汉语普通话,4.4,108429
海市蜃楼 Durante la tormenta,https://movie.douban.com/subject/30164448/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551172384.jpg,奥里奥尔·保罗,科幻,2019-03-28,西班牙,西班牙语,7.8,132902
名侦探柯南：零的执行人 名探偵コナン ゼロの執行人,https://movie.douban.com/subject/27110363/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2537694239.jpg,立川让,动画,2018-11-09,日本,日语,5.8,74144
精灵旅社3：疯狂假期 Hotel Transylvania 3: Summer Vacation,https://movie.douban.com/subject/26630714/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530591543.jpg,格恩迪·塔塔科夫斯基,喜剧,2018-08-17,美国,英语,6.7,74503
昆池岩 곤지암,https://movie.douban.com/subject/26945085/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513360824.jpg,郑凡植,恐怖,2018-03-28,韩国,韩语,6.1,110638
风语咒,https://movie.douban.com/subject/30146756/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530872223.jpg,刘阔,动画,2018-08-03,中国大陆,汉语普通话,6.9,89356
解除好友2：暗网 Unfriended: Dark Web,https://movie.douban.com/subject/26725678/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2525020357.jpg,斯蒂芬·思科,恐怖,2018-03-09,美国,英语,7.9,101144
南极之恋,https://movie.douban.com/subject/26628329/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518028103.jpg,吴有音,爱情,2018-02-01,中国大陆,汉语普通话,6.7,78216
祖宗十九代,https://movie.douban.com/subject/27114417/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511436594.jpg,郭德纲,喜剧,2018-02-16,中国大陆,汉语普通话,4.2,76650
灵魂摆渡·黄泉,https://movie.douban.com/subject/26910820/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512204463.jpg,巨兴茂,悬疑,2018-02-01,中国大陆,汉语普通话,7.1,70680
升级 Upgrade,https://movie.douban.com/subject/27093707/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2531034314.jpg,雷·沃纳尔,动作,2018-03-10,澳大利亚,英语,8.1,82668
比得兔 Peter Rabbit,https://movie.douban.com/subject/26649604/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515434674.jpg,威尔·古勒,喜剧,2018-03-02,美国 ,英语,7.1,66916
移动迷宫3：死亡解药 Maze Runner: The Death Cure,https://movie.douban.com/subject/26004132/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508618114.jpg,韦斯·鲍尔,动作,2018-01-26,美国,英语,5.3,60465
